Id,Istat,Nome,Provincia
200,037024,CREVALCORE,BO
201,037025,DOZZA,BO
202,037026,FONTANELICE,BO
203,037027,GAGGIO MONTANO,BO
204,037028,GALLIERA,BO
205,037030,GRANAROLO DELL`EMILIA,BO
206,037031,GRIZZANA MORANDI,BO
207,037032,IMOLA,BO
208,037033,LIZZANO IN BELVEDERE,BO
209,037034,LOIANO,BO
210,037035,MALALBERGO,BO
211,037036,MARZABOTTO,BO
212,037037,MEDICINA,BO
213,037038,MINERBIO,BO
214,037039,MOLINELLA,BO
215,037040,MONGHIDORO,BO
216,037041,MONTERENZIO,BO
217,037042,MONTE SAN PIETRO,BO
218,037044,MONZUNO,BO
219,037045,MORDANO,BO
220,037046,OZZANO DELL`EMILIA,BO
221,037047,PIANORO,BO
222,037048,PIEVE DI CENTO,BO
223,037050,SALA BOLOGNESE,BO
224,037051,SAN BENEDETTO VAL DI SAMBRO,BO
225,037052,SAN GIORGIO DI PIANO,BO
226,037053,SAN GIOVANNI IN PERSICETO,BO
227,037054,SAN LAZZARO DI SAVENA,BO
228,037055,SAN PIETRO IN CASALE,BO
229,037056,SANT'AGATA BOLOGNESE,BO
230,037057,SASSO MARCONI,BO
231,037059,VERGATO,BO
232,037060,ZOLA PREDOSA,BO
233,037061,VALSAMOGGIA,BO
234,037062,ALTO RENO TERME,BO
235,038001,ARGENTA,FE
236,038003,BONDENO,FE
237,038004,CENTO,FE
238,038005,CODIGORO,FE
239,038006,COMACCHIO,FE
240,038007,COPPARO,FE
241,038008,FERRARA,FE
242,038010,JOLANDA DI SAVOIA,FE
243,038011,LAGOSANTO,FE
244,038012,MASI TORELLO,FE
245,038014,MESOLA,FE
246,038017,OSTELLATO,FE
247,038018,POGGIO RENATICO,FE
248,038019,PORTOMAGGIORE,FE
249,038022,VIGARANO MAINARDA,FE
250,038023,VOGHIERA,FE
251,038025,GORO,FE
252,038027,FISCAGLIA,FE
253,038028,TERRE DEL RENO,FE
254,038029,RIVA DEL PO,FE
255,038030,TRESIGNANA,FE
256,039001,ALFONSINE,RA
257,039002,BAGNACAVALLO,RA
258,039003,BAGNARA DI ROMAGNA,RA
259,039004,BRISIGHELLA,RA
260,039005,CASOLA VALSENIO,RA
261,039006,CASTEL BOLOGNESE,RA
262,039007,CERVIA,RA
263,039008,CONSELICE,RA
264,039009,COTIGNOLA,RA
265,039010,FAENZA,RA
266,039011,FUSIGNANO,RA
267,039012,LUGO,RA
268,039013,MASSA LOMBARDA,RA
269,039014,RAVENNA,RA
270,039015,RIOLO TERME,RA
271,039016,RUSSI,RA
272,039017,SANT'AGATA SUL SANTERNO,RA
273,039018,SOLAROLO,RA
274,040001,BAGNO DI ROMAGNA,FC
275,040003,BERTINORO,FC
276,040004,BORGHI,FC
277,040005,CASTROCARO TERME E TERRA DEL SOLE,FC
278,040007,CESENA,FC
279,040008,CESENATICO,FC
280,040009,CIVITELLA DI ROMAGNA,FC
281,040011,DOVADOLA,FC
282,040012,FORLI`,FC
283,040013,FORLIMPOPOLI,FC
284,040014,GALEATA,FC
285,040015,GAMBETTOLA,FC
286,040016,GATTEO,FC
287,040018,LONGIANO,FC
288,040019,MELDOLA,FC
289,040020,MERCATO SARACENO,FC
290,040022,MODIGLIANA,FC
291,040028,MONTIANO,FC
292,040031,PORTICO E SAN BENEDETTO,FC
293,040032,PREDAPPIO,FC
294,040033,PREMILCUORE,FC
295,040036,ROCCA SAN CASCIANO,FC
296,040037,RONCOFREDDO,FC
297,040041,SAN MAURO PASCOLI,FC
298,040043,SANTA SOFIA,FC
299,040044,SARSINA,FC
300,040045,SAVIGNANO SUL RUBICONE,FC
301,040046,SOGLIANO AL RUBICONE,FC
302,040049,TREDOZIO,FC
303,040050,VERGHERETO,FC
304,099001,BELLARIA-IGEA MARINA,RN
305,099002,CATTOLICA,RN
306,099003,CORIANO,RN
307,099004,GEMMANO,RN
308,099005,MISANO ADRIATICO,RN
309,099006,MONDAINO,RN
310,099008,MONTEFIORE CONCA,RN
311,099009,MONTEGRIDOLFO,RN
312,099011,MORCIANO DI ROMAGNA,RN
313,099013,RICCIONE,RN
314,099014,RIMINI,RN
315,099015,SALUDECIO,RN
316,099016,SAN CLEMENTE,RN
317,099017,SAN GIOVANNI IN MARIGNANO,RN
318,099018,SANTARCANGELO DI ROMAGNA,RN
319,099020,VERUCCHIO,RN
320,099021,CASTELDELCI,RN
321,099022,MAIOLO,RN
322,099023,NOVAFELTRIA,RN
323,099024,PENNABILLI,RN
324,099025,SAN LEO,RN
325,099026,SANT'AGATA FELTRIA,RN
326,099027,TALAMELLO,RN
327,099028,POGGIO TORRIANA,RN
328,099029,MONTESCUDO - MONTE COLOMBO,RN
329,099030,MONTECOPIOLO,RN
330,099031,SASSOFELTRIO,RN
